,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿)
585,20渤海银行CD452,96.84,3.2500,,3.2500,
586,16京控MTN001,100.08,2.9570,-4.3,2.9634,
587,20徽商银行CD071,98.53,2.9839,,2.9839,
588,20广东顺德农商行CD146,98.51,2.9700,,2.9700,
589,20民生银行CD487,98.28,3.6500,40.01,3.6500,
590,18汉江国资MTN003,100.43,3.7633,-18.68,3.7329,
591,20广州农村商业银行CD145,96.44,3.7000,10.92,3.7000,
592,20大连银行CD284,97.46,3.4697,,3.4697,
593,20光大银行CD313,97.00,3.0800,-17.0,3.0800,
594,20中信银行CD142,97.16,2.9600,1.0,2.9600,
595,20武汉农商行CD028,98.73,1.9520,-9.66,1.9520,
596,19苏国信MTN005,99.79,3.6026,-10.74,3.6013,
597,20沪电力SCP016,99.91,2.8999,-33.24,2.8930,
598,20建设银行CD142,99.27,2.8504,,2.7502,
599,20华融湘江银行CD003,97.08,2.9903,,2.9100,
600,20广发银行CD207,99.26,2.9000,,2.8248,
601,19工银投资债03,99.57,3.4900,-13.26,3.4900,
602,20贵州银行CD012,97.03,3.0248,-29.51,3.0248,
603,20恒丰银行CD328,98.55,2.8499,-20.02,2.8499,
604,20中国银行CD098,97.08,2.9800,-31.0,2.9801,
605,20农业银行CD159,97.74,3.0645,-83.55,3.0623,
606,20江西银行CD035,97.67,3.0399,,3.0399,
607,20台州银行CD043,99.23,3.0000,,3.0000,
608,20东阳农商银行CD018,98.48,3.0799,,3.0799,
609,20富阳农商银行CD014,99.22,3.0801,,3.0801,
610,20中信银行CD230,97.07,3.0000,,3.0000,
611,20贵阳银行CD148,99.78,2.0512,-22.91,2.0512,
612,20民生银行CD054,97.36,2.7000,-19.99,2.7000,
613,20光大银行CD247,97.84,2.9000,-30.0,2.9150,
614,20中原银行CD038,97.20,2.9502,-8.98,2.9502,
615,20民生银行CD521,96.98,3.1000,-10.0,3.1100,
616,20成都农商银行CD094,99.19,3.1602,,3.1602,
617,20象屿SCP006,99.97,2.3995,-62.04,2.3995,
618,20光大集团SCP023,99.91,3.0999,1.0,3.0999,
